CodeSetId,CodeValue,Label
시설구역경계구분V6,FZB001,중앙행정기관(부)
시설구역경계구분V6,FZB002,중앙행정기관(처)
시설구역경계구분V6,FZB003,중앙행정기관(청)
시설구역경계구분V6,FZB004,중앙행정기관(소속기관)
시설구역경계구분V6,FZB005,중앙행정기관(기타)
시설구역경계구분V6,FZB006,자치단체청사
시설구역경계구분V6,FZB007,주민자치센타
시설구역경계구분V6,FZB008,소방서
시설구역경계구분V6,FZB009,경찰서
시설구역경계구분V6,FZB010,분뇨 및 쓰레기 처리시설
시설구역경계구분V6,FZB011,정부투자기관
시설구역경계구분V6,FZB101,대학교
시설구역경계구분V6,FZB102,고등학교
시설구역경계구분V6,FZB103,중학교
시설구역경계구분V6,FZB104,초등학교
시설구역경계구분V6,FZB105,특수학교
시설구역경계구분V6,FZB106,도서관
시설구역경계구분V6,FZB107,연구단지
시설구역경계구분V6,FZB108,수련원
시설구역경계구분V6,FZB201,공항시설
시설구역경계구분V6,FZB202,항만시설
시설구역경계구분V6,FZB203,철도시설
시설구역경계구분V6,FZB204,버스터미널
시설구역경계구분V6,FZB205,물류창고
시설구역경계구분V6,FZB301,경기장
시설구역경계구분V6,FZB302,기념관
시설구역경계구분V6,FZB303,식물원
시설구역경계구분V6,FZB304,동물원
시설구역경계구분V6,FZB305,휴양콘도미니엄
시설구역경계구분V6,FZB306,유스호스텔
시설구역경계구분V6,FZB307,골프장
시설구역경계구분V6,FZB308,리조트
시설구역경계구분V6,FZB309,스키장
시설구역경계구분V6,FZB310,야영장
시설구역경계구분V6,FZB311,승마장
시설구역경계구분V6,FZB312,해수욕장
시설구역경계구분V6,FZB313,운동장
시설구역경계구분V6,FZB314,체육관
시설구역경계구분V6,FZB315,골프장(러프)
시설구역경계구분V6,FZB316,골프장(홀)
시설구역경계구분V6,FZB317,골프장(페어웨이)
시설구역경계구분V6,FZB318,골프장(벙커)
시설구역경계구분V6,FZB319,골프장(티잉그라운드)
시설구역경계구분V6,FZB401,국립공원
시설구역경계구분V6,FZB402,도립공원
시설구역경계구분V6,FZB403,군립공원
시설구역경계구분V6,FZB404,근린공원
시설구역경계구분V6,FZB405,도시자연공원
시설구역경계구분V6,FZB406,어린이공원
시설구역경계구분V6,FZB407,체육공원
시설구역경계구분V6,FZB408,유원지
시설구역경계구분V6,FZB409,수목원
시설구역경계구분V6,FZB410,휴양림
시설구역경계구분V6,FZB411,관광지시설
시설구역경계구분V6,FZB412,온천
시설구역경계구분V6,FZB413,놀이동산
시설구역경계구분V6,FZB414,문화재
시설구역경계구분V6,FZB501,산업단지구역
시설구역경계구분V6,FZB502,축산지역
시설구역경계구분V6,FZB503,시장
시설구역경계구분V6,FZB504,방송국
시설구역경계구분V6,FZB505,병원
시설구역경계구분V6,FZB506,보건소
시설구역경계구분V6,FZB507,장례식장
시설구역경계구분V6,FZB508,묘지공원
시설구역경계구분V6,FZB509,공동묘지
시설구역경계구분V6,FZB510,능묘
시설구역경계구분V6,FZB601,교회
시설구역경계구분V6,FZB602,사찰
시설구역경계구분V6,FZB603,성당
시설구역경계구분V6,FZB701,아파트단지
시설구역경계구분V6,FZB702,개발예정구역
시설구역경계구분V6,FZB703,개발지구용도
시설구역경계구분V6,FZB704,개발지구용도(공원)
시설구역경계구분V6,FZB705,공사중단지
시설구역경계구분V6,FZB801,특화거리
시설구역경계구분V6,FZB802,랜드마크부지
시설구역경계구분V6,FZB803,랜드마크운동장
시설구역경계구분V6,FZB804,랜드마크잔디
시설구역경계구분V6,FZB901,(환경지역경계)미분류
시설구역경계구분V6,FZB902,자연환경보존지역
시설구역경계구분V6,FZB903,자연생태계보존구역
시설구역경계구분V6,FZB904,상수원보호지역
시설구역경계구분V6,FZB905,개발제한구역
시설구역경계구분V6,FZB906,환경보존특별 대책지역
시설구역경계구분V6,FZB907,(관광문화지역)미분류
시설구역경계구분V6,FZB908,문화재보호구역
시설구역경계구분V6,FZB909,관광단지
시설구역경계구분V6,FZB910,위락단지
경지경계구분V6,FDB001,경지계(논)
경지경계구분V6,FDB002,경지계(밭)
경지경계구분V6,FDB003,경지계(과수원)
경지경계구분V6,FDB006,경지계(조림지)
경지경계구분V6,FDB008,경지계(잔디)
경지경계구분V6,FDB009,경지계(화단)
경지경계구분V6,FDB010,경지계(정원수)
경지경계구분V6,FDB106,황무지
선형도로시설구분V6,LRR001,분리대
선형도로시설구분V6,LRR002,터널입구
선형도로시설구분V6,LRR005,낙석방지책
선형도로시설구분V6,LRR006,방호벽
선형도로시설구분V6,LRR007,차광책
선형도로시설구분V6,LRR008,소음방지책
선형도로시설구분V6,LRR010,가드레일
선형도로시설구분V6,LRR011,가드펜스
사용상태V6,UST001,건설예정
사용상태V6,UST002,공사중
사용상태V6,UST003,운영중
사용상태V6,UST004,폐쇄
등고선구분V6,CTS001,(볼록지)계곡선
등고선구분V6,CTS002,(볼록지)주곡선
등고선구분V6,CTS003,(볼록지)간곡선
등고선구분V6,CTS004,(볼록지)조곡선
등고선구분V6,CTS101,(오목지)계곡선
등고선구분V6,CTS102,(오목지)주곡선
등고선구분V6,CTS103,(오목지)간곡선
등고선구분V6,CTS104,(오목지)조곡선
선형도로시설구조구분V6,LRS001,화단
선형도로시설구조구분V6,LRS002,콘크리트
선형도로시설구조구분V6,LRS003,철제
선형도로시설구조구분V6,LRS004,플라스틱
선형도로시설구조구분V6,LRS005,나무(목제)
선형도로시설구조구분V6,LRS006,복합
선형도로시설구조구분V6,LRS007,석축(돌)
선형도로시설구조구분V6,LRS999,기타
축척구분V6,SCL001,1/500
축척구분V6,SCL002,"1/1,000"
축척구분V6,SCL003,"1/2,500"
